NQUEST,C46C4,C47C4,C48C4,C49C4,C46E4,C47E4,C48E4,C49E4,C43A1,C43A2,C43A5,C43A6,C43B1,C43B2,C43C1,C43C2,C43C3,C43C4,C43C5,C43D1,C43D2,C43E,C43F,C43G,C43H,C44A1,C44A2,C44A5,C44A6,C44B1,C44B2,C44C1,C44C2,C44C3,C44C4,C44C5,C44D1,C44D2,C44E,C44F,C44G,C44H,C45A1,C45A3,C45A4,C45A5,C45A6,C45B1,C45B2,C45C1,C45C2,C45C3,C45C4,C45C5,C45D1,C45D2,C45E1,C45E2,C45E3,C45E4,C45E5,C45F1,C45F2,C45F3,C45G1,C45G2,C45G3,C45H,C46A1,C47A1,C48A1,C49A1,C46A3,C47A3,C48A3,C49A3,C46A4,C47A4,C48A4,C49A4,C46A5,C47A5,C48A5,C49A5,C46A6,C47A6,C48A6,C49A6,C46B1,C47B1,C48B1,C49B1,C46B2,C47B2,C48B2,C49B2,C46C1,C47C1,C48C1,C49C1,C46C2,C47C2,C48C2,C49C2,C46C3,C47C3,C48C3,C49C3,C46C5,C47C5,C48C5,C49C5,C46D1,C47D1,C48D1,C49D1,C46D2,C47D2,C48D2,C49D2,C46E1,C47E1,C48E1,C49E1,C46E2,C47E2,C48E2,C49E2,C46E3,C47E3,C48E3,C49E3,C46E5,C47E5,C48E5,C49E5,C46F1,C47F1,C48F1,C49F1,C46F2,C47F2,C48F2,C49F2,C46F3,C47F3,C48F3,C49F3,C46G1,C47G1,C48G1,C49G1,C46G2,C47G2,C48G2,C49G2,C46G3,C47G3,C48G3,C49G3,C46H,C47H,C48H,C49H,ACQAF1,ACQAF2,ACQAF3,ACQAF4,ACQAF5,CONSAF1,CONSAF2,CONSAF3,CONSAF4,CONSAF5,CONSAF6,NAZI,AZIFAM,QAZIFAM,DEB98A,TDEB98A,DEB98B,TDEB98B,DEB98C,TDEB98C,DEB98D,TDEB98D,DEB98E,TDEB98E,CRE98,TCRE98,DEB98,TDEB98,MUTUOR,MUTUOE,MUTUORIC
561,0,0,,,0,0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,7,,3,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,1,0,0,0,0,0,1,0,0,0,0,,,,1,4200,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
629,0,0,,,0,0,,,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,,2,2,2,2,2,,,,2,2,,,,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,50000,,2,0,0,,,3,5000,,2,8,50000,,1,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,1,0,0,0,0,0,0,0,0,0,1,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
632,0,0,,,0,0,,,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,,2,1,1,1,1,1,2,,2,1,1,,,,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,5000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,1,2000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,5,13000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,1,0,1,0,0,0,0,0,0,0,1,1,2,,2,0,2,0,1,20000,2,0,2,0,2,0,2,0,1,1,
633,3,5000,,2,0,0,,,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,,,,1,1,1,1,1,1,,2,2,1,2,2,,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6000,,2,0,0,,,0,0,,,0,0,,,0,0,,,1,2000,,2,2,4000,,2,4,10000,,2,5,15000,,2,6,20000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,1,0,0,0,0,1,0,0,0,0,0,,,,2,0,2,0,2,0,2,0,2,0,1,,2,0,2,,2
686,0,0,,,0,0,,,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,,2,2,2,2,2,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,2,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
823,0,0,,,0,0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,5,13000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,6,20000,,2,7,30000,,2,0,0,,,0,0,,,0,0,,,0,0,,,6,20000,,2,4,10000,,1,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,1,0,0,0,0,0,0,0,0,0,1,3,2,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
824,0,0,,,0,0,,,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,,2,,2,2,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,30000,,2,6,20000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
923,0,0,,,0,0,,,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,1,,2,2,2,2,2,,,,,2,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
1084,0,0,,,0,0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,5000,,2,3,5000,,2,0,0,,,0,0,,,8,50000,,2,3,8000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,1,2000,,2,0,0,,,0,0,,,0,0,,,9,90000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,1,0,0,0,0,1,0,0,0,0,0,1,2,,2,0,2,0,1,10000,2,0,2,0,2,0,2,0,2,,2
1238,0,0,,,0,0,,,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,1,,,,,,,,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
1367,0,0,,,0,0,,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,1,,,,,,,,,,,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,8,50000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1,0,0,0,0,0,1,0,0,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
1371,0,0,,,0,0,,,1,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,,,,2,2,2,2,,,,2,,2,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,18000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,1,2700,2,0,2,0,2,0,2,0,2,,2
1387,0,0,,,0,0,,,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,,2,,,1,,2,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
1391,0,0,,,0,0,,,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,,1,,,1,2,2,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
1492,0,0,,,0,0,,,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,,,,,2,,,,,,,,,,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,0,0,,,2,4000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
1759,0,0,,,0,0,,,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
1763,0,0,,,0,0,,,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
1826,0,0,,,0,0,,,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,,2,,,,1,,,,,,,2,,,,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,30000,,1,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,6,20000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,1,0,0,0,0,1,0,0,0,0,0,,,,2,0,2,0,2,0,1,700,2,0,2,0,2,0,2,,2
1927,0,0,,,0,0,,,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,,2,2,1,1,2,,,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,7,30000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,1,0,0,0,0,0,0,0,0,0,1,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
1946,0,0,,,0,0,,,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,,,2,2,2,2,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,4,,2,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
2178,0,0,,,0,0,,,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,,,,,1,2,2,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,,3,2,,,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,1,7000,2,0,1,3000,2,0,2,0,2,0,2,0,2,,2
2274,0,0,,,0,0,,,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,1,2,,,,,,,,,,,,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,1,500,,2,0,0,,,0,0,,,0,0,,,1,1000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
2447,0,0,,,0,0,,,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,,2,1,2,2,2,,,2,2,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,56,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,1,5000,2,,2
2485,0,0,,,0,0,,,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,,,1,2,2,2,,,,,,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
2866,0,0,,,0,0,,,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,,1,1,2,2,2,,,,,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3000,,2,3,5000,,2,0,0,,,0,0,,,0,0,,,2,3000,,2,3,6000,,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,1,0,1,0,0,0,0,0,0,0,1,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
2875,0,0,,,0,0,,,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,,,2,2,2,2,,,,,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,2
