NQUEST,DEPBANC,NDEPBANC,IDEPBANC,DEPBANR,NDEPBANR,IDEPBANR,DEPPOSR,NDEPPOSR,IDEPPOSR,DEPPOSC,NDEPPOSC,IDEPPOSC,UNABAN,BANCHE,INTERMED,NINTERME,ANNIBAN,PREFBA1,PREFBA2,PREFBA3,PREFBA4,PREFBA5,PREFBA6,PREFBA7,PREFBA8,PREFBA9,PREFBA10,PREFBA11,TAXCC2,SCOPER,TSCOPER,ASSBAN,NASSBAN,NASSBAN2,ASSBANE1,ASSBANE2,ASSBANE3,ASSBANE4,ASSBANE5,ASSBANE6,ASSBANE0,PAGAM3U,PAGAM2U,PAGAM5U,PAGAM6U,MOTNAD1,MOTNAD2,MOTNAD3,MOTNAD4,MOTNAD5,MOTNAD6,MOTNAD7,MOTNAD8,MOTNAD9,PAGAM1U,PAGAM1,BONIFIE1,BONIFIE2,BONIFIE3,BONIFIE4,BONIFIE5,BONIFIE6,BONIFIE0,BANCOMAT,NBANCOMA,NPREL1,NPREL1AN,BANCOME1,BANCOME2,BANCOME3,BANCOME4,BANCOME5,BANCOME6,BANCOME0,PRELMED1,PAGAM4U,PAGAM4,PAGAM4AN,POSE1,POSE2,POSE3,POSE4,POSE5,POSE6,POSE0,CARTA,CARTE,CARTARAT,PCARTE,NPAGCART,NPAGCAAN,CARTEE1,CARTEE2,CARTEE3,CARTEE4,CARTEE5,CARTEE6,CARTEE0,MINCON,NPREL2,NPREL2AN,PRELE1,PRELE2,PRELE3,PRELE4,PRELE5,PRELE6,PRELE0,PRELMED2,VERSAM,NVERS,VERSE1,VERSE2,VERSE3,VERSE4,VERSE5,VERSE6,VERSE0,VERSMED,QPAGENT1,QPAGENT2,QPAGENT3,QPAGENT4,QPAGENT5,PAGENT1,PAGENT2,PAGENT3,PAGENT4,PAGENT5,SCORTA,SCORE1,SCORE2,SCORE3,SCORE4,SCORE5,SCORE6,SCORE0,SPESECON,SPESECE1,SPESECE2,SPESECE3,SPESECE4,SPESECE5,SPESECE6,SPESECE0,INTERNET,ACQINTER,TAXCC
32678,1,1,1,1,1,1,2,,,2,,,2,2,2,,3,0,0,0,0,0,1,0,0,0,0,0,,3,,1,0,10,,,,,,,1,2,2,2,2,0,0,0,1,0,0,1,1,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,50,0,6,,,,,,,1,1000,2,,,,,,,,,,,,100,,,2,2,1,2,2,200,,,,,,,1,800,,,,,,,1,2,,8.75
32681,1,1,1,2,,,1,1,1,2,,,1,1,2,,4,0,0,0,0,0,1,0,1,0,0,0,,1,100000,1,0,8,,,,,,,1,1,2,2,2,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,400,0,9,,,,,,,1,2000,2,,,,,,,,,,,100,,,,2,1,2,2,2,1000,,,,,,,1,2000,,,,,,,1,2,,2
32684,1,1,1,2,,,2,,,2,,,1,1,2,,3,0,0,0,0,0,0,1,0,0,0,0,,3,,2,,,,,,,,,,2,2,2,2,0,0,0,1,0,0,0,0,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,100,0,10,,,,,,,1,1800,2,,,,,,,,,,,100,,,,2,1,2,2,2,500,,,,,,,1,1500,,,,,,,1,2,,3
32685,2,,,1,1,1,2,,,2,,,1,1,2,,5,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,0,,,,,,,1,,2,,,,,,,,,,20,80,,,,1,1,2,2,2,300,,,,,,,1,800,,,,,,,1,2,,
32691,2,,,1,1,1,2,,,2,,,1,1,2,,4,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,0,0,,,,,,,1,,2,,,,,,,,,,100,,,,,1,2,2,2,2,100,,,,,,,1,700,,,,,,,1,2,,
32701,1,1,1,1,1,1,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,0,0,0,1,,2,,1,1,,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1000,2,,,,,,,,,500,2,,,,,,,,,,,80,20,,,2,1,1,2,2,1000,,,,,,,,1000,,,,,,,,2,,1.5
32703,1,1,1,1,2,2,2,,,2,,,1,1,2,,3,0,1,0,0,0,0,0,0,0,0,0,6,2,,2,,,,,,,,,,2,2,2,2,0,1,0,0,0,0,0,0,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,0,0,0,,,,,,,1,,1,48,,,,,,,1,300,60,40,,,,1,1,2,2,2,400,,,,,,,1,3500,,,,,,,1,2,,
32704,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,0,0,0,0,,2,,1,1,,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,1,1,,,,,,,,,500,2,,,,,,,,,,2,,,,,,,,,,,,,50,0,3,,,,,,,,1000,2,,,,,,,,,,,60,40,,,2,1,1,2,2,500,,,,,,,,1000,,,,,,,,2,,0
32708,1,2,2,1,1,1,2,,,2,,,2,2,2,,4,1,0,0,0,0,0,0,0,0,0,0,,3,,1,2,,,,,,,,1,1,1,2,2,,,,,,,,,,1,4,,,,,,,1,1,2,0,0,,,,,,,1,,2,,,,,,,,,,2,,,,,,,,,,,,,300,0,0,,,,,,,1,,1,15,,,,,,,1,3000,35,60,5,,,1,1,1,2,2,700,,,,,,,1,1500,,,,,,,1,2,,0
32709,1,2,2,2,,,2,,,2,,,2,2,2,,4,0,1,1,0,0,0,0,0,0,0,0,,1,50000,1,2,,,,,,,,1,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,2,1,,,,,,,,1,500,2,,,,,,,,,,2,,,,,,,,,,,,,100,0,0,,,,,,,1,,1,6,,,,,,,1,2000,20,70,10,,,1,1,1,2,2,1500,,,,,,,1,3000,,,,,,,1,2,,4.3
32711,1,2,2,2,,,2,,,2,,,2,2,2,,4,0,0,0,0,0,1,0,0,0,0,0,3,2,,1,1,,,,,,,,1,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,2,1,,,,,,,,1,300,1,0,3,,,,,,,1,2,,,,,,,,,,,,,100,0,0,,,,,,,1,,1,12,,,,,,,1,350,10,60,30,,,1,1,1,2,2,500,,,,,,,1,2000,,,,,,,1,2,,
32712,1,1,2,1,1,1,2,,,2,,,1,1,2,,4,0,0,0,0,0,1,0,0,0,0,0,,3,,1,1,,,,,,,,1,2,2,2,2,0,1,0,0,0,0,0,0,0,2,,,,,,,,,1,2,2,,,,,,,,1,300,2,,,,,,,,,,2,,,,,,,,,,,,,50,1,,,,,,,,1,1500,2,,,,,,,,,,,100,,,,2,1,2,2,2,400,,,,,,,1,2000,,,,,,,1,2,,1.5
32713,1,3,2,1,1,1,2,,,2,,,2,3,2,,4,1,0,0,0,0,0,0,0,0,0,0,,1,2000,1,1,,,,,,,,1,2,2,2,2,0,1,0,1,0,0,1,0,0,1,30,,,,,,,1,1,1,2,,,,,,,,1,200,2,,,,,,,,,,2,,,,,,,,,,,,,50,1,,,,,,,,1,1000,1,3,,,,,,,1,800,50,,50,,,1,2,1,2,2,500,,,,,,,1,2100,,,,,,,1,2,,12
32714,1,2,1,1,1,1,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,0,1,0,0,,2,,1,0,10,,,,,,,1,2,2,1,2,0,1,0,0,0,0,1,0,0,1,1,,,,,,,1,1,2,4,,,,,,,,1,500,2,,,,,,,,,,1,1,1,,0,6,,,,,,,1,100,0,4,,,,,,,1,1000,2,,,,,,,,,,,40,60,,,2,1,1,2,2,500,,,,,,,1,2000,,,,,,,1,2,,1
32716,1,1,2,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,1,0,0,0,0,,2,,1,1,,,,,,,,1,1,1,2,2,,,,,,,,,,1,2,,,,,,,1,1,2,7,,,,,,,,1,400,1,0,2,,,,,,,1,2,,,,,,,,,,,,,50,0,10,,,,,,,1,2000,2,,,,,,,,,,,100,,,,2,1,2,2,2,400,,,,,,,1,3000,,,,,,,1,2,,1.2
32719,1,2,2,1,1,1,2,,,2,,,1,1,2,,4,0,0,0,1,0,0,0,0,0,0,0,,2,,1,5,,,,,,,,1,1,2,1,2,,,,,,,,,,2,,,,,,,,,1,1,4,,,,,,,,1,300,2,,,,,,,,,,1,1,2,,0,7,,,,,,,1,200,2,,,,,,,,1,500,2,,,,,,,,,,,40,60,,,2,1,1,2,2,200,,,,,,,1,2000,,,,,,,1,2,,1.5
32720,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,50,2,,,,,,,,,300,2,,,,,,,,,,30,70,,,,1,1,2,2,2,300,,,,,,,,600,,,,,,,,2,,
32722,2,,,1,1,1,2,,,2,,,1,1,2,,4,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,,,,,,,,,800,2,,,,,,,,,,,100,,,,2,1,2,2,2,600,,,,,,,,800,,,,,,,,2,,
32724,1,2,2,1,1,1,2,,,2,,,2,2,2,,2,1,0,0,0,1,0,0,0,0,0,0,,2,,1,1,,,,,,,,1,1,2,1,2,,,,,,,,,,2,,,,,,,,,1,2,3,,,,,,,,1,500,1,0,5,,,,,,,1,1,2,1,2,1,,,,,,,,1,100,1,,,,,,,,1,2000,2,,,,,,,,,,,10,90,,,2,1,1,2,2,1000,,,,,,,1,2000,,,,,,,1,1,2,1.25
32725,1,1,1,1,1,1,2,,,2,,,1,1,2,,3,0,0,0,0,0,0,1,0,0,0,0,,3,,1,0,6,,,,,,,1,2,2,2,2,0,1,0,0,0,0,0,0,0,2,,,,,,,,,1,1,4,,,,,,,,1,300,1,0,6,,,,,,,1,2,,,,,,,,,,,,,50,0,2,,,,,,,1,1000,2,,,,,,,,,,,100,,,,2,1,2,2,2,300,,,,,,,1,1500,,,,,,,1,2,,0
