NQUEST,NORD,LAVORO,PIND1,PIND2,PIND3,PPENS,ALTRED1,ALTRED2,ALTRED3,ALTRED4,ALL1,ALL2,ALL3,ALL4,ALL5,ALL6
25,1,1,2,2,2,2,2,2,2,2,1,,,,,
25,2,1,2,2,2,2,2,2,2,2,1,,,,,
25,3,2,2,2,2,2,2,2,2,2,,,,,,
25,4,2,2,2,2,2,2,2,2,2,,,,,,
25,5,2,2,2,2,2,2,2,2,2,,,,,,
34,1,2,1,2,2,1,2,2,2,2,,2,,,5,
34,2,1,2,2,2,2,2,2,2,2,1,,,,,
34,3,2,2,2,2,2,2,2,2,2,,,,,,
34,4,2,2,2,2,2,2,2,2,2,,,,,,
38,1,2,2,2,2,1,2,2,2,2,,,,,5,
123,1,2,1,2,2,2,2,2,2,2,,2,,,,
123,2,2,2,2,2,2,2,2,2,2,,,,,,
123,3,2,1,2,2,2,2,2,2,2,,2,,,,
123,4,1,2,2,2,2,2,2,2,2,1,,,,,
123,5,2,1,2,2,2,2,2,2,2,,2,,,,
123,6,2,2,2,2,2,2,2,2,2,,,,,,
123,7,2,2,2,2,1,2,2,2,2,,,,,5,
126,1,1,2,2,2,2,2,2,2,2,1,,,,,
126,2,2,2,2,2,2,2,2,2,2,,,,,,
126,3,2,2,2,2,2,2,2,2,2,,,,,,
126,4,2,2,2,2,2,2,2,2,2,,,,,,
173,1,1,2,2,2,2,2,2,2,2,1,,,,,
173,2,2,2,2,2,2,2,2,2,2,,,,,,
173,3,2,2,2,2,2,2,2,2,2,,,,,,
173,4,2,2,2,2,2,2,2,2,2,,,,,,
304,1,1,2,2,2,2,2,2,2,2,1,,,,,
304,2,2,2,2,2,2,2,2,2,2,,,,,,
304,3,2,2,2,2,2,2,2,2,2,,,,,,
325,1,2,2,2,2,1,2,2,2,2,,,,,5,
325,2,2,2,2,1,2,2,2,2,2,,,,4,,
375,1,2,2,2,2,1,2,2,2,2,,,,,5,
375,2,2,2,2,2,1,2,2,2,2,,,,,5,
376,1,1,2,2,2,2,2,2,2,2,1,,,,,
376,2,2,2,2,2,2,2,2,2,2,,,,,,
376,3,2,2,2,2,2,2,2,2,2,,,,,,
376,4,2,2,2,2,2,2,2,2,2,,,,,,
424,1,2,2,2,2,1,2,2,2,2,,,,,5,
465,1,1,2,2,2,1,2,2,2,2,1,,,,5,
465,2,1,2,2,2,2,2,2,2,2,1,,,,,
465,3,2,2,2,2,2,2,2,2,1,,,,,,6
465,4,2,2,2,2,2,2,2,2,2,,,,,,
474,1,2,2,2,2,1,2,2,2,1,,,,,5,6
558,1,1,2,2,2,2,2,2,2,2,1,,,,,
558,2,1,2,2,2,2,2,2,2,2,1,,,,,
558,3,1,2,2,2,2,2,2,2,2,1,,,,,
561,1,2,2,1,2,2,2,2,2,2,,,3,,,
561,2,2,2,2,2,2,2,2,2,2,,,,,,
561,3,2,2,1,2,2,2,2,2,2,,,3,,,
561,4,2,2,2,2,2,2,2,2,2,,,,,,
629,1,2,2,2,1,1,2,2,2,2,,,,4,5,
629,2,1,2,2,2,2,2,2,2,2,1,,,,,
629,3,1,2,2,2,2,2,2,2,2,1,,,,,
632,1,1,2,2,2,2,2,2,2,2,1,,,,,
632,2,1,2,2,2,2,2,2,2,2,1,,,,,
632,3,1,2,2,2,2,2,2,2,2,1,,,,,
632,4,2,2,2,2,2,2,2,2,2,,,,,,
633,1,2,2,2,2,1,2,2,2,2,,,,,5,
633,2,2,2,2,2,1,2,2,2,2,,,,,5,
686,1,2,2,2,2,1,2,2,2,2,,,,,5,
701,1,1,2,2,2,2,2,2,2,2,1,,,,,
701,2,2,2,2,2,1,2,2,2,2,,,,,5,
701,3,2,2,2,2,2,2,2,2,2,,,,,,
823,1,1,2,2,2,2,2,2,2,2,1,,,,,
823,2,2,2,2,2,2,2,2,2,2,,,,,,
823,3,2,2,2,2,2,2,2,2,2,,,,,,
823,4,2,2,2,2,2,2,2,2,2,,,,,,
824,1,2,2,2,2,1,2,2,2,2,,,,,5,
824,2,2,2,2,2,1,2,2,2,2,,,,,5,
905,1,1,2,2,2,2,2,2,2,1,1,,,,,6
905,2,1,2,2,2,2,2,2,2,1,1,,,,,6
905,3,2,2,2,2,2,2,2,2,2,,,,,,
905,4,2,2,2,2,2,2,2,2,2,,,,,,
912,1,2,2,2,2,2,2,2,2,2,,,,,,
912,2,1,2,2,2,2,2,2,2,2,1,,,,,
912,3,2,2,2,2,2,2,2,2,2,,,,,,
912,4,2,2,2,2,2,2,2,2,2,,,,,,
923,1,2,2,2,2,1,2,2,2,2,,,,,5,
923,2,2,2,2,2,2,2,2,2,2,,,,,,
1084,1,1,1,2,2,2,2,2,2,2,1,2,,,,
1084,2,1,2,2,2,2,2,2,2,2,1,,,,,
1084,3,2,2,2,2,2,2,2,2,2,,,,,,
1084,4,2,2,2,2,2,2,2,2,2,,,,,,
1120,1,1,2,2,2,2,2,2,2,2,1,,,,,
1120,2,1,2,2,2,2,2,2,2,2,1,,,,,
1120,3,2,2,2,2,1,2,2,1,2,,,,,5,6
1120,4,2,2,2,2,2,2,2,2,2,,,,,,
1120,5,2,2,2,2,2,2,2,2,2,,,,,,
1137,1,2,2,2,2,1,2,2,2,2,,,,,5,
1137,2,2,2,2,2,1,2,2,2,2,,,,,5,
1238,1,1,2,2,2,2,2,2,2,2,1,,,,,
1238,2,2,2,2,2,2,2,2,2,2,,,,,,
1238,3,2,2,2,2,2,2,2,2,2,,,,,,
1238,4,2,2,2,2,2,2,2,2,2,,,,,,
1361,1,2,2,2,2,1,2,2,2,2,,,,,5,
1361,2,2,2,2,2,1,2,2,2,2,,,,,5,
1361,3,2,2,2,2,2,2,2,2,2,,,,,,
1367,1,2,2,2,2,1,2,2,2,2,,,,,5,
1367,2,2,2,2,2,1,2,2,2,2,,,,,5,
1371,1,1,2,2,2,2,2,2,2,2,1,,,,,
1371,2,2,2,2,2,2,2,2,2,2,,,,,,
1371,3,2,2,2,2,2,2,2,2,2,,,,,,
1371,4,2,2,2,2,2,2,2,2,2,,,,,,
1371,5,2,2,2,2,2,2,2,2,2,,,,,,
1387,1,2,2,2,2,1,2,2,2,2,,,,,5,
1387,2,2,2,2,2,1,2,2,2,2,,,,,5,
1391,1,2,2,2,2,1,2,2,2,2,,,,,5,
1492,1,2,2,2,2,1,2,2,2,2,,,,,5,
1492,2,2,2,2,2,1,2,2,2,2,,,,,5,
1742,1,2,2,2,2,1,2,2,2,2,,,,,5,
1742,2,1,2,2,2,2,2,2,2,2,1,,,,,
1742,3,1,2,2,2,2,2,2,2,2,1,,,,,
1742,4,2,2,2,2,2,2,2,2,2,,,,,,
1750,1,2,1,2,2,2,2,2,2,2,,2,,,,
1759,1,2,2,2,2,1,2,2,2,2,,,,,5,
1762,1,2,2,2,2,1,2,2,2,2,,,,,5,
1763,1,1,2,2,2,2,2,2,2,2,1,,,,,
1763,2,1,2,2,2,2,2,2,2,2,1,,,,,
1763,3,2,2,2,2,2,2,2,2,2,,,,,,
1763,4,2,2,2,2,2,2,2,2,2,,,,,,
1817,1,2,2,2,2,1,2,2,2,2,,,,,5,
1817,2,2,2,2,2,1,2,2,2,2,,,,,5,
1826,1,2,1,2,2,2,2,2,2,2,,2,,,,
1826,2,2,2,2,2,2,2,2,2,2,,,,,,
1927,1,1,2,2,2,1,2,2,2,2,1,,,,5,
1927,2,2,2,2,2,2,2,2,2,1,,,,,,6
1946,1,2,2,2,2,1,2,2,2,2,,,,,5,
1946,2,2,2,2,2,1,2,2,2,2,,,,,5,
1946,3,2,2,2,2,2,2,2,2,2,,,,,,
1946,4,1,2,2,2,2,2,2,2,2,1,,,,,
1946,5,2,2,2,2,2,2,2,2,2,,,,,,
1946,6,2,2,2,2,2,2,2,2,2,,,,,,
1953,1,2,2,2,2,1,2,2,2,2,,,,,5,
1953,2,2,2,2,2,1,2,2,2,2,,,,,5,
1988,1,2,2,2,2,1,2,2,2,2,,,,,5,
1989,1,2,2,2,2,2,2,2,2,2,,,,,,
1989,2,2,2,2,2,1,2,2,2,2,,,,,5,
2178,1,1,2,2,2,2,2,2,2,2,1,,,,,
2178,2,2,2,2,2,1,2,2,2,2,,,,,5,
2178,3,2,2,2,2,1,2,2,2,2,,,,,5,
2274,1,2,2,2,2,1,2,2,2,2,,,,,5,
2274,2,2,2,2,2,1,2,2,2,2,,,,,5,
2274,3,1,2,2,2,2,2,2,2,2,1,,,,,
2447,1,2,1,2,2,2,2,2,2,2,,2,,,,
2447,2,1,2,2,2,2,2,2,2,2,1,,,,,
2447,3,2,2,2,2,2,2,2,2,2,,,,,,
2447,4,2,2,2,2,2,2,2,2,2,,,,,,
2485,1,2,2,2,2,1,2,2,2,1,,,,,5,6
2577,1,2,2,2,2,1,2,2,2,2,,,,,5,
2579,1,1,2,2,2,2,2,2,2,2,1,,,,,
2579,2,2,2,2,2,2,2,2,2,2,,,,,,
2579,3,2,2,2,2,2,2,2,2,2,,,,,,
2579,4,1,2,2,2,2,2,2,2,2,1,,,,,
2579,5,2,2,2,2,2,2,2,2,2,,,,,,
2866,1,2,1,2,2,2,2,2,2,2,,2,,,,
2866,2,2,2,2,2,2,2,2,2,2,,,,,,
2866,3,2,2,2,2,2,2,2,2,2,,,,,,
2866,4,2,2,2,2,2,2,2,2,2,,,,,,
2866,5,2,2,2,2,2,2,2,2,2,,,,,,
2875,1,2,2,2,2,1,2,2,2,2,,,,,5,
2875,2,2,2,2,2,1,2,2,2,2,,,,,5,
2875,3,1,2,2,2,2,2,2,2,2,1,,,,,
2886,1,1,2,2,2,2,2,2,2,2,1,,,,,
2886,2,1,2,2,2,2,2,2,2,2,1,,,,,
2886,3,2,2,2,2,2,2,2,2,1,,,,,,6
2886,4,2,2,2,2,2,2,2,2,2,,,,,,
2886,5,2,2,2,2,2,2,2,2,2,,,,,,
2963,1,2,2,2,2,1,2,2,2,2,,,,,5,
2963,2,2,2,2,2,1,2,2,2,2,,,,,5,
2970,1,2,2,1,2,2,2,2,2,2,,,3,,,
2970,2,2,2,2,2,2,2,2,2,2,,,,,,
2970,3,2,2,1,2,2,2,2,2,2,,,3,,,
2970,4,2,2,2,2,2,2,2,2,2,,,,,,
2970,5,2,2,2,2,2,2,2,2,2,,,,,,
2970,6,2,2,2,2,2,2,2,2,2,,,,,,
3078,1,2,2,2,1,2,2,2,2,2,,,,4,,
3078,2,2,2,2,2,2,2,2,2,2,,,,,,
3078,3,2,2,2,2,2,2,2,2,2,,,,,,
3078,4,2,2,2,2,2,2,2,2,2,,,,,,
3166,1,1,2,2,2,2,2,2,2,2,1,,,,,
3166,2,2,2,2,2,2,2,2,2,2,,,,,,
3166,3,1,2,2,2,2,2,2,2,2,1,,,,,
3166,4,2,2,2,2,2,2,2,2,2,,,,,,
3166,5,2,2,2,2,2,2,2,2,2,,,,,,
3193,1,1,2,2,2,2,2,2,2,2,1,,,,,
3193,2,2,2,2,2,2,2,2,2,2,,,,,,
3193,3,2,2,2,2,2,2,2,2,2,,,,,,
3193,4,2,2,2,2,2,2,2,2,2,,,,,,
3203,1,2,2,2,2,1,2,2,2,2,,,,,5,
3203,2,1,2,2,2,2,2,1,2,2,1,,,,,6
3204,1,2,1,2,2,2,2,2,2,2,,2,,,,
3204,2,1,2,2,2,2,2,2,2,2,1,,,,,
3299,1,1,2,2,2,2,2,2,2,2,1,,,,,
3299,2,2,2,2,2,2,2,2,2,2,,,,,,
3299,3,1,2,2,2,2,2,2,2,2,1,,,,,
3299,4,1,2,2,2,2,2,2,2,2,1,,,,,
3299,5,1,2,2,2,2,2,2,2,2,1,,,,,
3389,1,2,2,2,2,1,2,2,2,2,,,,,5,
3389,2,2,2,2,2,1,2,2,2,2,,,,,5,
3663,1,2,2,2,2,1,1,2,2,2,,,,,5,6
3663,2,2,2,2,2,2,2,2,2,2,,,,,,
3717,1,2,2,2,2,2,2,2,2,2,,,,,,
3717,2,2,2,2,2,1,2,2,2,2,,,,,5,
3717,3,2,2,2,2,1,2,2,2,2,,,,,5,
3905,1,2,2,2,2,1,2,2,2,2,,,,,5,
3905,2,2,2,2,2,2,2,2,2,2,,,,,,
3905,3,2,2,2,2,2,2,2,2,2,,,,,,
3905,4,2,2,2,2,2,2,2,2,2,,,,,,
3905,5,2,2,2,2,2,2,2,2,2,,,,,,
4236,1,2,2,2,2,1,2,2,2,2,,,,,5,
4238,1,2,2,2,2,1,2,2,2,2,,,,,5,
4238,2,2,2,2,2,1,2,2,2,2,,,,,5,
4266,1,2,2,2,2,1,2,2,2,2,,,,,5,
4266,2,2,2,2,2,2,2,2,2,2,,,,,,
4266,3,2,2,2,2,1,2,2,2,2,,,,,5,
4266,4,2,2,2,2,1,2,2,2,2,,,,,5,
4266,5,2,2,2,2,2,2,2,2,2,,,,,,
4266,6,2,2,2,2,2,2,2,2,2,,,,,,
4266,7,2,2,2,2,2,2,2,2,2,,,,,,
4297,1,2,2,2,2,2,2,2,2,2,,,,,,
4297,2,2,2,2,2,1,2,2,2,2,,,,,5,
4304,1,1,2,2,2,2,2,2,2,2,1,,,,,
4304,2,1,2,2,2,2,2,2,2,2,1,,,,,
4304,3,1,2,2,2,2,2,2,2,2,1,,,,,
4370,1,1,1,2,2,2,2,2,2,2,1,2,,,,
4370,2,1,2,2,2,2,2,2,2,2,1,,,,,
4370,3,2,2,2,2,2,2,2,2,2,,,,,,
4370,4,2,2,2,2,2,2,2,2,2,,,,,,
4507,1,2,2,2,2,1,2,2,2,2,,,,,5,
4507,2,2,2,2,2,1,2,2,2,2,,,,,5,
4704,1,2,2,2,2,1,2,2,2,2,,,,,5,
4704,2,2,2,2,2,2,2,2,2,2,,,,,,
4704,3,2,2,2,2,2,2,2,2,2,,,,,,
4730,1,2,1,2,2,2,2,2,2,2,,2,,,,
4730,2,2,2,2,2,2,2,2,2,2,,,,,,
4730,3,2,2,2,2,2,2,2,2,2,,,,,,
4730,4,2,2,2,2,2,2,2,2,2,,,,,,
4732,1,1,2,2,2,2,2,2,2,2,1,,,,,
4732,2,2,2,2,2,2,2,2,2,2,,,,,,
4732,3,2,2,2,2,2,2,2,2,2,,,,,,
4732,4,2,2,2,2,2,2,2,2,2,,,,,,
4939,1,2,1,2,2,2,2,2,2,2,,2,,,,
4939,2,2,2,2,2,2,2,2,2,2,,,,,,
4939,3,2,2,2,2,2,2,2,2,2,,,,,,
4939,4,2,2,2,2,2,2,2,2,2,,,,,,
4939,5,2,2,2,2,1,2,2,2,2,,,,,5,
4941,1,1,2,2,2,2,2,1,2,2,1,,,,,6
4941,2,1,2,2,2,2,2,2,2,2,1,,,,,
4941,3,2,2,2,2,2,2,2,2,2,,,,,,
4941,4,2,2,2,2,2,2,2,2,2,,,,,,
5027,1,1,2,2,2,1,2,2,2,2,1,,,,5,
5027,2,2,2,2,2,2,2,2,2,2,,,,,,
5027,3,2,2,2,2,2,2,2,2,2,,,,,,
5027,4,2,2,2,2,2,2,2,2,2,,,,,,
5027,5,2,2,2,2,2,2,2,2,2,,,,,,
5028,1,1,2,2,2,2,2,2,2,2,1,,,,,
5028,2,2,2,2,2,2,2,2,2,2,,,,,,
5028,3,2,2,2,2,2,2,2,2,2,,,,,,
5028,4,2,2,2,2,2,2,2,2,2,,,,,,
5028,5,2,2,2,2,2,2,2,2,2,,,,,,
5028,6,2,2,2,2,2,2,2,2,2,,,,,,
5416,1,1,2,2,2,2,2,2,2,2,1,,,,,
5416,2,1,2,2,2,2,2,2,2,2,1,,,,,
5416,3,2,2,2,2,2,2,2,2,2,,,,,,
5416,4,2,2,2,2,2,2,2,2,2,,,,,,
5416,5,2,2,2,2,2,2,2,2,2,,,,,,
5686,1,2,2,2,2,1,2,2,2,2,,,,,5,
5686,2,2,2,2,2,2,2,2,2,2,,,,,,
5686,3,2,2,2,2,2,2,2,2,2,,,,,,
5686,4,2,2,2,2,2,2,2,2,2,,,,,,
5686,5,2,2,2,2,2,2,2,2,2,,,,,,
5697,1,2,2,2,1,2,2,2,2,2,,,,4,,
5697,2,2,2,2,2,2,2,2,2,2,,,,,,
5697,3,2,2,2,2,2,2,2,2,2,,,,,,
5816,1,2,2,2,2,1,2,2,2,2,,,,,5,
5816,2,2,2,2,2,1,2,2,2,2,,,,,5,
6013,1,2,2,2,2,1,2,2,2,2,,,,,5,
6090,1,2,2,2,2,1,2,2,2,2,,,,,5,
6090,2,1,2,2,2,2,2,2,2,2,1,,,,,
6107,1,2,2,2,2,2,2,2,2,2,,,,,,
6107,2,1,2,2,2,2,2,2,2,2,1,,,,,
6107,3,1,2,2,2,2,2,2,2,2,1,,,,,
6110,1,1,2,2,2,2,2,2,2,2,1,,,,,
6110,2,2,2,2,2,1,2,2,2,2,,,,,5,
6110,3,2,2,2,2,2,2,2,2,2,,,,,,
6110,4,2,2,2,2,2,2,2,2,2,,,,,,
6110,5,2,2,2,2,2,2,2,2,2,,,,,,
6110,6,2,2,2,2,1,2,2,2,2,,,,,5,
6501,1,1,2,2,2,2,2,2,2,2,1,,,,,
6501,2,2,2,2,2,2,2,2,2,2,,,,,,
6522,1,2,2,2,2,2,2,2,2,2,,,,,,
6522,2,1,2,2,2,2,2,2,2,2,1,,,,,
7015,1,2,1,2,2,2,2,2,2,2,,2,,,,
7015,2,2,2,2,2,2,2,2,2,2,,,,,,
7016,1,2,2,2,2,1,2,2,2,2,,,,,5,
7089,1,2,1,2,2,2,2,2,2,2,,2,,,,
7089,2,2,2,2,2,1,2,2,2,2,,,,,5,
7089,3,2,2,2,2,2,2,2,2,2,,,,,,
7089,4,2,2,2,2,2,2,2,2,2,,,,,,
7091,1,2,2,2,2,1,2,2,2,2,,,,,5,
7091,2,2,2,2,2,2,2,2,2,2,,,,,,
7091,3,1,2,2,2,2,2,2,2,2,1,,,,,
7097,1,1,2,2,2,2,2,2,2,2,1,,,,,
7097,2,2,2,2,2,2,2,2,2,2,,,,,,
7097,3,2,2,2,2,2,2,2,2,2,,,,,,
7097,4,2,2,2,2,2,2,2,2,2,,,,,,
7098,1,2,1,2,2,2,2,2,2,2,,2,,,,
7098,2,2,2,2,2,2,2,2,2,2,,,,,,
7098,3,2,2,2,2,2,2,2,2,2,,,,,,
7155,1,1,2,2,2,2,2,2,2,2,1,,,,,
7155,2,2,2,2,2,2,2,2,2,2,,,,,,
7155,3,1,2,2,2,2,2,2,2,2,1,,,,,
7155,4,1,2,2,2,2,2,2,2,2,1,,,,,
7160,1,2,2,2,2,1,2,2,2,2,,,,,5,
7160,2,2,2,2,2,2,2,2,2,2,,,,,,
7160,3,2,2,2,2,2,2,2,2,2,,,,,,
7165,1,1,2,2,2,2,2,1,2,2,1,,,,,6
7165,2,1,2,2,2,2,2,2,2,2,1,,,,,
7165,3,2,2,2,2,2,2,2,2,2,,,,,,
7166,1,2,2,2,2,1,2,2,2,2,,,,,5,
7166,2,1,2,2,2,2,2,2,2,2,1,,,,,
7166,3,1,2,2,2,2,2,2,2,2,1,,,,,
7781,1,2,2,2,2,1,2,2,2,2,,,,,5,
7886,1,1,2,2,2,2,2,2,2,2,1,,,,,
7886,2,2,2,2,2,2,2,2,2,2,,,,,,
7886,3,2,2,2,2,2,2,2,2,2,,,,,,
7886,4,2,2,2,2,2,2,2,2,2,,,,,,
7895,1,1,2,2,2,2,2,2,2,2,1,,,,,
7895,2,2,2,2,1,2,2,2,2,2,,,,4,,
7895,3,2,2,2,2,2,2,2,2,2,,,,,,
8168,1,2,2,2,2,1,2,2,2,2,,,,,5,
8168,2,1,2,2,2,2,2,2,2,2,1,,,,,
8168,3,2,2,2,2,2,2,2,2,2,,,,,,
8331,1,1,2,2,2,1,2,2,2,2,1,,,,5,
8331,2,1,2,2,2,2,2,2,2,2,1,,,,,
8331,3,1,2,2,2,2,2,2,2,2,1,,,,,
8331,4,1,2,2,2,2,2,2,2,2,1,,,,,
8332,1,2,2,2,2,1,2,2,2,2,,,,,5,
8481,1,1,2,2,2,2,2,2,2,2,1,,,,,
8578,1,2,2,2,2,1,2,2,2,2,,,,,5,
8578,2,2,2,2,2,2,2,2,2,2,,,,,,
8591,1,2,2,2,2,1,2,2,2,2,,,,,5,
8591,2,2,2,2,2,1,2,2,2,2,,,,,5,
8754,1,1,2,2,2,2,2,2,2,2,1,,,,,
8754,2,2,2,2,2,2,2,2,2,2,,,,,,
8754,3,2,2,2,2,2,2,2,2,2,,,,,,
8754,4,2,2,2,2,2,2,2,2,2,,,,,,
8754,5,2,2,2,2,2,2,2,2,2,,,,,,
8868,1,1,2,2,2,2,2,2,2,2,1,,,,,
8868,2,1,2,2,2,2,2,2,2,2,1,,,,,
8868,3,2,2,2,2,2,2,2,2,2,,,,,,
8868,4,2,2,2,2,2,2,2,2,2,,,,,,
8915,1,2,2,2,2,1,2,2,2,2,,,,,5,
8915,2,2,2,2,2,2,2,2,2,2,,,,,,
8915,3,1,2,2,2,2,2,2,2,2,1,,,,,
8915,4,1,2,2,2,2,2,2,2,2,1,,,,,
8952,1,2,2,2,2,1,2,2,2,2,,,,,5,
8952,2,1,2,2,2,2,2,2,2,2,1,,,,,
8952,3,2,2,2,2,2,2,2,2,2,,,,,,
8954,1,1,2,2,2,2,2,2,2,2,1,,,,,
8954,2,1,2,2,2,2,2,2,2,2,1,,,,,
8954,3,2,2,2,2,2,2,2,2,2,,,,,,
8954,4,2,2,2,2,2,2,2,2,2,,,,,,
8955,1,2,2,2,2,1,2,2,2,2,,,,,5,
9248,1,1,2,2,2,2,2,2,2,2,1,,,,,
9249,1,1,2,2,2,2,2,2,2,2,1,,,,,
9249,2,2,2,2,2,1,2,2,2,2,,,,,5,
9249,3,2,2,2,2,1,2,2,2,2,,,,,5,
9249,4,1,2,2,2,2,2,2,2,2,1,,,,,
9249,5,2,1,2,2,2,2,2,2,2,,2,,,,
9249,6,2,2,2,2,2,2,2,2,2,,,,,,
9402,1,2,2,2,2,1,2,2,2,2,,,,,5,
9402,2,2,2,2,2,2,2,2,2,2,,,,,,
9402,3,1,2,2,2,2,2,2,2,2,1,,,,,
9402,4,1,2,2,2,2,2,2,2,2,1,,,,,
9405,1,2,2,2,2,1,2,2,2,2,,,,,5,
9411,1,2,2,2,2,1,2,2,2,2,,,,,5,
9411,2,2,2,2,2,2,2,2,2,2,,,,,,
9526,1,2,1,2,2,2,2,2,2,2,,2,,,,
9526,2,2,2,2,2,2,2,2,2,2,,,,,,
9526,3,2,1,2,2,2,2,2,2,2,,2,,,,
11810,1,1,2,2,2,2,2,2,2,2,1,,,,,
11810,2,1,2,2,2,2,2,2,2,2,1,,,,,
11810,3,2,2,2,2,2,2,2,2,2,,,,,,
11810,4,2,2,2,2,2,2,2,2,2,,,,,,
11810,5,2,2,2,2,2,2,2,2,2,,,,,,
11810,6,2,2,2,2,2,2,2,2,2,,,,,,
11810,7,2,2,2,2,2,2,2,2,2,,,,,,
11810,8,2,2,2,2,2,2,2,2,2,,,,,,
11810,9,2,2,2,2,2,2,2,2,2,,,,,,
11940,1,2,2,2,2,1,2,2,2,2,,,,,5,
11940,2,2,2,2,2,1,2,2,2,2,,,,,5,
11940,3,1,2,2,2,2,2,2,2,2,1,,,,,
11972,1,2,2,1,2,2,2,2,2,2,,,3,,,
11972,2,2,2,1,2,2,2,2,2,2,,,3,,,
11972,3,2,2,1,2,2,2,2,2,2,,,3,,,
20010,1,2,2,2,2,1,2,2,2,2,,,,,5,
20010,2,2,2,2,2,1,2,2,2,2,,,,,5,
20010,3,1,2,2,2,2,2,2,2,2,1,,,,,
20010,4,2,2,2,2,1,2,2,2,2,,,,,5,
20011,1,1,2,2,2,2,2,2,2,1,1,,,,,6
20011,2,2,2,2,2,2,2,2,2,2,,,,,,
20019,1,2,2,2,2,1,2,2,2,2,,,,,5,
20020,1,1,2,2,2,2,2,2,2,2,1,,,,,
20020,2,1,2,2,2,2,2,1,2,2,1,,,,,6
20020,3,2,2,2,2,2,2,2,2,2,,,,,,
20028,1,2,2,2,2,1,2,2,2,2,,,,,5,
20033,1,2,2,2,2,1,2,2,2,2,,,,,5,
20033,2,2,2,2,2,2,2,2,2,2,,,,,,
20047,1,2,1,2,2,1,2,2,2,2,,2,,,5,
20047,2,2,2,2,2,2,2,2,2,2,,,,,,
20047,3,1,2,2,2,2,2,2,2,2,1,,,,,
20047,4,1,2,2,2,2,2,2,2,2,1,,,,,
20111,1,2,2,2,2,1,2,2,2,2,,,,,5,
20111,2,2,2,2,2,2,2,2,2,2,,,,,,
20111,3,2,2,2,2,2,2,2,2,2,,,,,,
20111,4,2,2,2,2,2,2,2,2,2,,,,,,
20111,5,2,2,2,2,2,2,2,2,2,,,,,,
20112,1,2,2,2,2,2,2,2,2,2,,,,,,
20112,2,2,2,2,2,1,2,2,2,2,,,,,5,
20112,3,2,2,2,2,2,2,2,2,2,,,,,,
20112,4,2,2,2,2,2,2,2,2,2,,,,,,
20154,1,1,2,2,2,2,2,2,2,2,1,,,,,
20154,2,1,2,2,2,2,2,2,2,2,1,,,,,
20154,3,1,2,2,2,2,2,2,2,2,1,,,,,
20154,4,2,2,2,2,2,2,2,2,2,,,,,,
20169,1,2,2,2,2,1,2,2,2,2,,,,,5,
20170,1,2,2,2,2,1,2,2,2,2,,,,,5,
20170,2,2,2,2,2,1,2,2,2,2,,,,,5,
20174,1,1,2,2,2,2,2,2,2,2,1,,,,,
20174,2,2,2,2,2,2,2,2,2,2,,,,,,
20178,1,1,2,2,2,2,2,2,2,2,1,,,,,
20178,2,2,2,2,2,1,2,2,2,2,,,,,5,
20179,1,1,2,2,2,2,2,2,2,2,1,,,,,
20179,2,1,2,2,2,2,2,2,2,2,1,,,,,
20179,3,2,2,2,2,2,2,2,2,2,,,,,,
20179,4,2,2,2,2,2,2,2,2,2,,,,,,
20179,5,2,2,2,2,2,2,2,2,2,,,,,,
20223,1,2,1,2,2,2,2,2,2,2,,2,,,,
20223,2,2,2,2,2,1,2,2,2,2,,,,,5,
20223,3,2,2,2,2,2,2,2,2,2,,,,,,
20231,1,2,1,2,2,2,2,2,2,2,,2,,,,
20231,2,2,2,2,2,2,2,2,2,2,,,,,,
20231,3,2,2,2,2,2,2,2,2,2,,,,,,
20232,1,2,2,2,2,1,2,2,2,2,,,,,5,
20232,2,1,2,2,2,2,2,2,2,2,1,,,,,
20232,3,2,2,2,2,2,2,2,2,2,,,,,,
20232,4,2,2,2,2,2,2,2,2,2,,,,,,
20241,1,2,2,2,2,1,2,2,2,2,,,,,5,
20258,1,1,2,2,2,2,2,2,2,2,1,,,,,
20277,1,2,1,2,2,2,2,2,2,2,,2,,,,
20277,2,1,2,2,2,2,2,2,2,2,1,,,,,
20284,1,2,1,2,2,2,2,2,2,2,,2,,,,
20284,2,1,2,2,2,2,2,2,2,2,1,,,,,
20284,3,2,2,2,2,2,2,2,2,2,,,,,,
20284,4,2,2,2,2,2,2,2,2,2,,,,,,
20284,5,2,2,2,2,2,2,2,2,2,,,,,,
20285,1,2,2,2,2,1,2,2,2,2,,,,,5,
20289,1,2,2,2,2,1,2,2,2,2,,,,,5,
20297,1,1,2,2,2,2,2,1,2,2,1,,,,,6
20297,2,2,2,2,2,1,2,2,2,2,,,,,5,
20358,1,2,2,2,2,1,2,2,2,2,,,,,5,
20358,2,2,2,2,2,2,2,2,2,2,,,,,,
20365,1,2,2,2,2,1,2,2,2,2,,,,,5,
20365,2,2,2,2,2,1,2,2,2,2,,,,,5,
20372,1,1,2,2,2,2,2,2,2,2,1,,,,,
20372,2,2,1,2,2,2,2,2,2,2,,2,,,,
20372,3,1,2,2,2,2,2,2,2,2,1,,,,,
20372,4,2,2,2,2,2,2,2,2,2,,,,,,
20373,1,2,2,2,2,1,2,2,2,2,,,,,5,
20373,2,2,2,2,2,1,2,2,2,2,,,,,5,
20375,1,2,2,2,2,1,2,2,2,2,,,,,5,
