NQUEST,ACQAF1,ACQAF2,ACQAF3,ACQAF4,CONSAF1,CONSAF2,CONSAF3,CONSAF4,CONSAF5,CONSAF6,ALTAF,C38A1,C39A1,C40A1,C41A1,C42A1,C38A2,C39A2,C40A3,C41A3,C42A3,C40A4,C41A4,C42A4,C38A5,C39A5,C40A5,C41A5,C42A5,C46A5,C47A5,C38A6,C39A6,C40A6,C41A6,C42A6,C46A6,C47A6,C38B1,C39B1,C40B1,C41B1,C42B1,C38B2,C39B2,C40B2,C41B2,C42B2,C46B2,C47B2,C38C1,C39C1,C40C1,C41C1,C42C1,C46C1,C47C1,C38C2,C39C2,C40C2,C41C2,C42C2,C46C2,C47C2,C38C3,C39C3,C40C3,C41C3,C42C3,C46C3,C47C3,C38C4,C39C4,C40C4,C41C4,C42C4,C46C4,C47C4,C38C5,C39C5,C40C5,C41C5,C42C5,C46C5,C47C5,C38D1,C39D1,C40D1,C41D1,C42D1,C46D1,C47D1,C38D2,C39D2,C40D2,C41D2,C42D2,C46D2,C47D2,C38E,C39E,C46E,C47E,C40E1,C41E1,C42E1,C40E2,C41E2,C42E2,C40E3,C41E3,C42E3,C40E4,C41E4,C42E4,C40E5,C41E5,C42E5,C38F,C39F,C46F,C47F,C40F1,C41F1,C42F1,C40F2,C41F2,C42F2,C40F3,C41F3,C42F3,C38G,C39G,C46G,C47G,C40G1,C41G1,C42G1,C40G2,C41G2,C42G2,C40G3,C41G3,C42G3,C38H,C39H,C40H,C41H,C42H,NAZI,AZIFAM,QAZIFAM,SCOMMES,NSCOMMES,DEB95A,DEB95B,DEB95C,DEB95D,DEB95E,TDEB95A,TDEB95B,TDEB95C,TDEB95D,TDEB95E,CRE95,DEB95,MUTUOR,MUTUOE,MUTUORIC
424,1,,,,1,,,,,,2,1,1,1,3,2,2,2,2,0,,2,0,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,2,2,2,0,,,,1,1,1,3,1,,,1,1,1,5,2,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,5000,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
465,1,,,,1,,,,,,2,1,1,1,3,2,1,1,2,0,,1,3,2,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,1,,,1,0,,1,1,1,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,2,0,,1,1,0,0,,2,2,2,2,2,0,0,0,0,0,1,2,2,,2
474,1,,,,1,,,,,,2,1,1,1,4,2,1,2,2,0,,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,1,1,8,2,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,2,0,,,,,0,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
558,1,,,,1,,,,,,2,1,1,1,2,2,1,2,2,0,,2,0,,2,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,1,1,3,2,,,1,1,1,3,2,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,1,2,2,0,,,,,1000,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
561,1,,,,1,,,,,,1,1,1,1,7,2,1,1,2,0,,2,0,,1,2,2,0,,2,,1,2,2,0,,2,,1,2,2,0,,1,1,2,0,,2,,1,2,2,0,,2,,1,1,1,7,2,,,1,2,2,0,,2,,1,2,2,0,,1,1,1,2,2,0,,2,,1,2,2,0,,2,,1,2,2,0,,2,,1,2,2,,2,0,,2,0,,2,0,,2,0,,2,0,,1,2,2,,2,0,,2,0,,2,0,,1,2,2,,2,0,,2,0,,2,0,,1,2,2,0,,,,,5000,,1,2,2,2,2,18000,0,0,0,0,2,2,2,,2
629,1,,,,1,,,,,,2,1,1,1,8,2,1,1,2,0,,2,0,,1,1,1,9,2,,,2,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,0,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
632,1,,,,1,,,,,,2,1,1,1,3,2,1,1,2,0,,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,1,1,9,2,,,1,2,2,0,,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,100,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
633,1,,,,1,,,,,,2,1,1,1,3,2,1,2,2,0,,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,1,1,7,1,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,2000,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
686,,,,,,,,,,,,1,1,1,5,2,1,2,2,0,,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,,2,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
701,1,,,,1,,,,,,2,1,1,1,4,2,1,1,1,1,2,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,1,1,7,2,,,1,1,1,4,2,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,,2,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
823,,,,,,,,,,,,1,1,1,9,2,1,1,2,0,,2,0,,1,1,2,0,,,,1,1,2,0,,,,1,2,2,0,,1,1,2,0,,,,1,1,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,0,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
824,,,,,,,,,,,,1,1,1,2,2,1,1,1,3,2,2,0,,1,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,,1,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
905,1,,,,,,,,,1,2,1,1,1,4,2,1,1,2,0,,1,3,2,1,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,1,1,6,2,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,30,,1,2,2,2,2,20000,0,0,0,0,2,2,2,,2
912,1,,,,1,,,,,,2,1,1,2,0,,1,1,2,0,,1,2,2,1,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,1,1,4,2,,,1,2,2,0,,,,1,1,1,3,2,,,1,2,2,0,,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,100,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
923,,,,,,,,,,,,1,1,1,3,2,1,1,2,0,,1,1,2,2,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,2,2,2,0,,,,1,1,2,0,,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,,1,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1084,1,,1,,1,,,,,,2,1,1,1,5,2,1,1,2,0,,2,0,,1,1,1,8,2,,,1,2,2,0,,,,1,1,1,5,2,1,2,2,0,,,,1,1,1,7,2,,,1,1,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,1,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,100,,2,2,2,2,2,0,0,0,0,0,2,1,2,,2
1120,1,,,,,1,,,,,2,1,1,1,0,2,1,2,2,0,,2,0,,1,2,2,0,,,,1,1,1,3,1,,,1,2,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,1,1,4,2,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,1,,,2,0,,2,0,,1,3,2,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,2,0,,1,2,100,10000,,1,2,1,2,2,10000,0,5000,0,0,2,2,2,,2
1137,,,,,,,,,,,,1,2,2,0,,1,1,1,1,2,2,0,,2,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,2,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,10000,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1238,,,,,,,,,,,,1,1,2,0,,1,1,2,0,,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,1,2,0,,1,1,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,2,0,,,,,1000,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1361,,,,,,,,,,,,1,1,1,2,2,1,1,1,4,2,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,2,0,,,,,1000,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1367,1,,,,,,,,,1,2,1,1,2,0,,1,1,1,1,2,2,0,,1,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,1,1,6,2,,,1,2,2,0,,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,,,2,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,2,0,,,,,0,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1371,,,,,,,,,,,,1,1,1,7,2,1,1,1,3,2,2,0,,1,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,1,1,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,,2,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1387,,,,,,,,,,,,1,1,2,0,,1,1,2,0,,2,0,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,,1,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1391,,,,,,,,,,,,2,2,2,0,,1,1,2,0,,1,2,2,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,,1,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1492,1,,,,,,,,,1,2,1,1,2,0,,1,1,1,2,2,2,0,,2,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,2,2,2,0,,,,1,1,1,4,2,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,10,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1742,,,,,,,,,,,,1,1,1,5,2,1,2,2,0,,2,0,,1,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,,1,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1750,,,,,,,,,,,,1,1,2,0,,1,1,2,0,,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,,1,1,2,2,2,2,15000,0,0,0,0,2,2,2,,2
1759,,,,,,,,,,,,2,2,2,0,,2,2,2,0,,2,0,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,,1,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1762,,,,,,,,,,,,1,2,2,0,,1,2,2,0,,2,0,,2,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,,1,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1763,,,,,,,,,,,,1,2,2,0,,1,1,1,8,2,2,0,,2,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,2,0,,,,,,1,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1817,1,,,,1,,,,,,2,1,1,1,4,2,1,1,2,0,,2,0,,1,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,1,1,8,2,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,2,0,,,,,1000,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1826,,,,,,,,,,,,1,1,1,7,2,1,1,1,2,2,2,0,,1,1,2,0,,,,2,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,1,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,1,2,2,0,,,,,0,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
1927,1,,,,,,,,,1,2,1,1,1,2,2,1,1,2,0,,2,0,,1,2,2,0,,,,2,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,1,1,5,2,,,1,1,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,2,2,2,0,,,,1,1,2,0,,,,1,1,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,2,2,,,2,0,,2,0,,2,0,,1,2,2,0,,,,,,1,2,2,1,2,2,0,0,10000,0,0,1,2,2,,2
1946,,,,,,,,,,,,1,1,2,0,,1,1,1,4,2,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,2,0,,,,1,2,,,2,0,,2,0,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,,,2,0,,2,0,,2,0,,1,2,2,0,,,,,3000,,2,2,2,2,2,0,0,0,0,0,2,2,2,,2
